sport_licence,niveau_etude,region,smoker,nb_enfants,revenu_estime_mois,historique_credits,score_credit,loyer_mensuel,montant_pret
oui,master,Provence-Alpes-Côte d’Azur,non,2,2091.0,3.0,575.0,1010.6120000000001,500.0
oui,doctorat,Bretagne,oui,1,1540.0,3.0,818.0,980.9780000000001,22143.694141361557
oui,master,Normandie,oui,3,1684.0,4.0,414.0,740.572,4324.856803286908
oui,aucun,Bretagne,non,2,3140.0,0.0,629.0,708.0880000000001,500.0
non,aucun,Normandie,oui,0,4089.0,2.0,516.0,709.0939999999999,500.0
non,master,Hauts-de-France,oui,-1,3158.0,3.0,575.0,670.704,500.0
non,aucun,Île-de-France,non,1,1959.0,3.0,575.0,773.356,10854.07936402302
oui,aucun,Bretagne,oui,3,1824.0,1.0,582.0,881.48,8454.336007043335
non,master,Île-de-France,oui,2,500.0,2.0,458.0,675.32,6793.452284371787
non,bac,Île-de-France,non,2,1447.0,5.0,809.0,332.49399999999997,500.0
non,master,Hauts-de-France,oui,2,2886.0,0.0,560.0,986.11,500.0
oui,bac,Provence-Alpes-Côte d’Azur,oui,2,867.0,4.0,573.0,734.1319999999998,10699.741376669954
non,doctorat,Auvergne-Rhône-Alpes,oui,2,3307.0,5.0,578.0,782.188,500.0
oui,doctorat,Corse,oui,0,3327.0,4.0,326.0,787.2900000000001,931.2893411604468
non,doctorat,Occitanie,non,0,1878.0,5.0,578.0,759.104,500.0
non,bac+2,Corse,non,0,3511.0,0.0,560.0,667.42,6275.995657375264
oui,bac,Corse,non,2,2292.0,1.0,582.0,1225.01,500.0
oui,aucun,Hauts-de-France,oui,2,4301.0,1.0,570.0,972.1659999999999,6527.309924135625
non,bac,Auvergne-Rhône-Alpes,non,0,3880.0,3.0,575.0,861.302,500.0
non,aucun,Auvergne-Rhône-Alpes,oui,0,5297.0,2.0,570.0,714.7259999999999,500.0
non,bac+2,Île-de-France,oui,1,2944.0,2.0,542.0,860.3220000000001,4878.983510459015
oui,master,Auvergne-Rhône-Alpes,oui,0,500.0,3.0,578.0,842.04,9005.3984759165
non,bac,Île-de-France,non,2,891.0,1.0,582.0,1262.05,4648.262954564732
