niveau_etude,region,smoker,revenu_estime_mois,historique_credits,score_credit,loyer_mensuel,montant_pret
bac,Île-de-France,non,5245.0,2.0,577.0,867.952,32408.309271881208
doctorat,Auvergne-Rhône-Alpes,oui,3792.0,0.0,580.0,700.914,17975.461375021725
master,Bretagne,oui,714.0,0.0,772.0,699.57,500.0
master,Hauts-de-France,oui,500.0,2.0,356.0,837.7660000000002,500.0
doctorat,Provence-Alpes-Côte d’Azur,oui,3440.0,2.0,633.0,868.476,18070.091787237645
doctorat,Hauts-de-France,oui,885.0,3.0,375.0,684.7860000000001,12373.56023523041
master,Île-de-France,oui,3114.0,4.0,646.0,767.006,20050.690685912497
bac,Occitanie,oui,1840.0,2.0,434.0,596.0,500.0
aucun,Auvergne-Rhône-Alpes,non,2050.0,5.0,634.0,679.878,500.0
aucun,Provence-Alpes-Côte d’Azur,non,3911.0,3.0,581.0,865.49,500.0
aucun,Île-de-France,oui,3821.0,5.0,557.0,1141.89,500.0
bac+2,Normandie,oui,500.0,2.0,577.0,654.534,500.0
doctorat,Île-de-France,oui,4635.0,5.0,557.0,566.954,1986.2237285384024
master,Provence-Alpes-Côte d’Azur,non,500.0,4.0,576.0,713.5759999999999,500.0
aucun,Hauts-de-France,oui,900.0,3.0,581.0,889.7240000000002,500.0
bac,Provence-Alpes-Côte d’Azur,oui,3853.0,2.0,656.0,794.824,500.0
doctorat,Corse,non,1672.0,5.0,620.0,929.684,500.0
aucun,Auvergne-Rhône-Alpes,non,2350.0,4.0,576.0,1065.788,12238.402238366429
master,Île-de-France,non,2182.0,3.0,581.0,844.0419999999998,18547.59442206578
bac,Provence-Alpes-Côte d’Azur,oui,923.0,3.0,581.0,1052.648,500.0
master,Hauts-de-France,oui,2214.0,3.0,464.0,988.656,500.0
bac,Corse,non,1959.0,5.0,557.0,641.038,500.0
bac+2,Île-de-France,oui,1389.0,1.0,553.0,793.17,1366.7152302536567
master,Corse,oui,1809.0,4.0,763.0,864.0200000000001,500.0
master,Bretagne,oui,4778.0,0.0,580.0,731.4459999999999,28396.908742389693
bac,Hauts-de-France,oui,3838.0,2.0,577.0,610.236,500.0
master,Île-de-France,non,2071.0,3.0,581.0,739.762,16528.519173978777
bac,Occitanie,non,2783.0,1.0,357.0,577.66,12733.330382969947
master,Hauts-de-France,oui,2600.0,5.0,557.0,1040.518,6156.501558240514
doctorat,Occitanie,oui,3008.0,4.0,484.0,672.558,500.0
bac+2,Provence-Alpes-Côte d’Azur,oui,500.0,0.0,805.0,713.5759999999999,500.0
master,Île-de-France,non,4278.0,5.0,455.0,830.5880000000001,31072.702663736723
aucun,Occitanie,oui,2537.0,0.0,580.0,844.8399999999999,500.0
master,Auvergne-Rhône-Alpes,non,4525.0,2.0,761.0,949.24,10946.391315339892
doctorat,Occitanie,oui,1859.0,4.0,576.0,547.03,500.0
bac+2,Hauts-de-France,oui,1566.0,5.0,418.0,335.202,1992.4825524566772
bac,Provence-Alpes-Côte d’Azur,oui,3929.0,5.0,506.0,901.632,15002.912094814255
master,Normandie,oui,3214.0,2.0,402.0,678.442,10488.968596578909
doctorat,Auvergne-Rhône-Alpes,non,3865.0,3.0,581.0,1128.66,37282.162849122215
aucun,Normandie,non,1851.0,2.0,577.0,348.33,10767.439217607673
aucun,Bretagne,non,1770.0,3.0,352.0,265.2039,4161.441442592443
master,Bretagne,non,1083.0,4.0,576.0,562.484,20879.755904736496
bac,Normandie,oui,3041.0,1.0,553.0,627.58,11145.183005926978
doctorat,Auvergne-Rhône-Alpes,oui,2741.0,0.0,573.0,884.098,500.0
doctorat,Bretagne,oui,3059.0,2.0,577.0,879.924,28698.200373046937
aucun,Hauts-de-France,oui,2663.0,2.0,843.0,748.46,500.0
doctorat,Normandie,non,500.0,4.0,718.0,559.26,29358.17769561137
aucun,Auvergne-Rhône-Alpes,oui,2023.0,0.0,580.0,1032.32,500.0
bac+2,Corse,non,904.0,5.0,561.0,1065.43,6712.726721442828
doctorat,Île-de-France,non,568.0,4.0,576.0,785.8320000000001,500.0
bac,Provence-Alpes-Côte d’Azur,oui,3624.0,0.0,580.0,1073.5,500.0
master,Île-de-France,oui,1823.0,0.0,580.0,739.31,9958.305010076558
aucun,Bretagne,non,2040.0,3.0,521.0,729.204,15699.8867602253
bac+2,Bretagne,non,2321.0,1.0,553.0,704.758,15785.751255071553
bac+2,Provence-Alpes-Côte d’Azur,non,1216.0,1.0,553.0,849.732,11292.029477601953
bac,Bretagne,oui,1731.0,2.0,577.0,829.0260000000001,4529.690297241665
aucun,Occitanie,non,4762.0,4.0,396.0,1307.961000000001,500.0
bac+2,Hauts-de-France,non,3480.0,3.0,581.0,744.2800000000001,17264.275901828485
master,Bretagne,oui,1993.0,3.0,384.0,581.5580000000001,1281.9229939424142
bac,Provence-Alpes-Côte d’Azur,oui,2217.0,3.0,581.0,866.378,1703.2091550614111
bac+2,Normandie,non,2140.0,3.0,581.0,798.03,500.0
master,Provence-Alpes-Côte d’Azur,non,1075.0,3.0,581.0,899.202,10667.772211678155
aucun,Bretagne,non,3619.0,1.0,553.0,958.6020000000001,13279.43790734672
bac+2,Corse,non,2597.0,1.0,553.0,1307.961000000001,14865.32774958236
aucun,Corse,non,3152.0,2.0,577.0,848.9779999999998,2426.265552876417
bac+2,Corse,non,1797.0,3.0,581.0,283.86,10146.957094539635
bac+2,Auvergne-Rhône-Alpes,oui,2986.0,0.0,580.0,623.516,11837.808210233152
aucun,Bretagne,non,1930.0,3.0,599.0,948.83,10379.81877962131
aucun,Auvergne-Rhône-Alpes,non,4771.0,0.0,630.0,913.7279999999998,19719.5017886146
aucun,Occitanie,non,2600.0,2.0,577.0,915.0900000000001,500.0
bac+2,Auvergne-Rhône-Alpes,non,4778.0,0.0,614.0,731.4459999999999,8980.312053464007
bac,Île-de-France,oui,2248.0,0.0,580.0,664.456,500.0
bac,Île-de-France,oui,1899.0,5.0,342.0,949.448,500.0
bac,Corse,non,4207.0,1.0,718.0,778.668,21549.82401911197
bac+2,Occitanie,oui,1998.0,3.0,774.0,773.764,500.0
doctorat,Normandie,oui,602.0,4.0,576.0,752.496,5428.047793885788
master,Normandie,oui,3474.0,4.0,496.0,1278.27,16752.789752354092
doctorat,Bretagne,non,1908.0,5.0,318.0,941.686,20423.84320730014
doctorat,Corse,oui,1176.0,0.0,580.0,666.126,500.0
doctorat,Île-de-France,oui,4010.0,2.0,577.0,694.0740000000001,40137.50246898064
bac+2,Île-de-France,oui,4319.0,5.0,557.0,802.2199999999999,500.0
bac+2,Auvergne-Rhône-Alpes,non,4897.0,0.0,768.0,764.0600000000001,35962.04802835945
bac,Provence-Alpes-Côte d’Azur,non,4231.0,2.0,577.0,785.024,500.0
aucun,Hauts-de-France,oui,645.0,4.0,818.0,643.462,500.0
master,Bretagne,non,2452.0,4.0,380.0,743.9340000000001,500.0
master,Île-de-France,non,2571.0,2.0,577.0,910.4280000000001,33049.468422152735
bac,Île-de-France,oui,3121.0,1.0,701.0,867.894,7051.1771065952
aucun,Auvergne-Rhône-Alpes,non,2285.0,1.0,792.0,903.858,2724.919805153449
doctorat,Auvergne-Rhône-Alpes,oui,2483.0,2.0,666.0,265.2039,26282.620988748466
aucun,Hauts-de-France,non,4243.0,2.0,359.0,744.2259999999999,14306.900020371317
aucun,Corse,oui,4340.0,2.0,698.0,1004.67,500.0
bac+2,Bretagne,oui,531.0,1.0,553.0,749.9680000000001,500.0
bac,Île-de-France,non,2743.0,5.0,557.0,847.452,16741.9804046619
doctorat,Occitanie,non,500.0,2.0,577.0,656.9540000000001,14504.604268333092
bac+2,Corse,non,1711.0,5.0,557.0,1000.064,500.0
bac+2,Occitanie,non,1882.0,5.0,557.0,897.3520000000001,28685.37160497041
bac,Hauts-de-France,oui,1084.0,4.0,820.0,660.0959999999999,500.0
aucun,Occitanie,non,2740.0,4.0,486.0,773.51,6726.144540197254
bac,Bretagne,non,1797.0,1.0,595.0,546.16,500.0
aucun,Auvergne-Rhône-Alpes,oui,2165.0,1.0,846.0,887.1,500.0
master,Bretagne,oui,2107.0,5.0,557.0,688.7,8921.973730630438
master,Normandie,oui,1290.0,5.0,331.0,703.8499999999999,8255.660172817976
aucun,Bretagne,oui,1029.0,3.0,581.0,643.222,500.0
aucun,Occitanie,non,2362.0,4.0,491.0,983.4,500.0
master,Provence-Alpes-Côte d’Azur,oui,5826.0,5.0,557.0,627.648,29125.10607760429
bac+2,Hauts-de-France,oui,609.0,3.0,581.0,723.68,500.0
bac,Auvergne-Rhône-Alpes,oui,3332.0,5.0,660.0,605.32,14791.054255033709
aucun,Auvergne-Rhône-Alpes,non,3099.0,2.0,577.0,901.918,14232.322333697375
doctorat,Auvergne-Rhône-Alpes,oui,1771.0,0.0,301.0,731.594,500.0
doctorat,Île-de-France,non,2979.0,4.0,376.0,1111.528,30331.9324936551
bac+2,Bretagne,non,3877.0,4.0,576.0,780.64,26198.455079027182
aucun,Île-de-France,non,1772.0,3.0,581.0,731.594,12454.328982490384
bac,Île-de-France,non,5181.0,4.0,576.0,868.6579999999998,14858.463980839962
master,Normandie,oui,2952.0,0.0,630.0,1101.41,24462.730419394706
aucun,Provence-Alpes-Côte d’Azur,oui,500.0,3.0,581.0,672.52,500.0
bac+2,Provence-Alpes-Côte d’Azur,non,500.0,2.0,577.0,921.64,500.0
doctorat,Normandie,non,1863.0,4.0,576.0,542.182,14449.054890309168
aucun,Bretagne,oui,1363.0,4.0,576.0,843.1179999999998,500.0
master,Hauts-de-France,non,2612.0,1.0,553.0,1307.961000000001,500.0
aucun,Occitanie,non,936.0,2.0,577.0,1073.3439999999998,500.0
master,Bretagne,non,1251.0,4.0,710.0,926.12,4878.545755190827
bac+2,Provence-Alpes-Côte d’Azur,oui,614.0,5.0,557.0,821.99,500.0
aucun,Occitanie,non,1541.0,1.0,553.0,781.294,500.0
aucun,Hauts-de-France,non,4944.0,1.0,553.0,844.9,500.0
bac+2,Île-de-France,oui,2002.0,0.0,651.0,729.854,9001.546015414096
master,Provence-Alpes-Côte d’Azur,oui,2582.0,3.0,581.0,846.1379999999999,10903.397392817302
aucun,Île-de-France,oui,3318.0,5.0,557.0,791.566,2720.813788949977
bac,Île-de-France,non,796.0,3.0,581.0,588.964,10822.827044993295
aucun,Occitanie,non,3885.0,3.0,581.0,727.296,15757.66361823247
aucun,Bretagne,oui,3582.0,5.0,557.0,724.76,3735.658720627448
master,Normandie,oui,500.0,0.0,580.0,654.534,500.0
aucun,Corse,oui,3527.0,5.0,557.0,654.46,500.0
bac,Occitanie,oui,2450.0,2.0,791.0,739.94,500.0
bac,Hauts-de-France,oui,2893.0,0.0,580.0,793.96,500.0
bac,Provence-Alpes-Côte d’Azur,oui,4262.0,3.0,581.0,773.284,500.0
master,Normandie,oui,2399.0,5.0,818.0,942.9739999999999,11737.23847284871
bac+2,Bretagne,oui,1287.0,2.0,800.0,757.766,2814.1386162062663
aucun,Hauts-de-France,oui,1768.0,2.0,830.0,792.952,500.0
doctorat,Bretagne,oui,1713.0,0.0,803.0,929.5619999999999,500.0
aucun,Normandie,oui,1962.0,1.0,363.0,652.8120000000001,500.0
doctorat,Bretagne,non,2789.0,4.0,576.0,899.832,29152.59717199099
master,Auvergne-Rhône-Alpes,non,2623.0,2.0,562.0,923.994,4383.465051415476
master,Île-de-France,non,2699.0,5.0,557.0,794.1120000000001,8620.740440969317
aucun,Bretagne,non,3059.0,4.0,576.0,879.924,500.0
bac+2,Occitanie,non,500.0,3.0,581.0,656.9540000000001,2571.4279977966503
bac,Bretagne,oui,989.0,2.0,843.0,728.932,12906.990479801343
aucun,Provence-Alpes-Côte d’Azur,non,2538.0,2.0,458.0,810.39,21288.40814422946
bac,Hauts-de-France,non,2830.0,3.0,581.0,805.29,7501.263720832778
master,Île-de-France,oui,3583.0,0.0,580.0,615.43,13702.678326689054
doctorat,Occitanie,oui,962.0,5.0,557.0,825.348,14356.8655104378
aucun,Île-de-France,non,3271.0,5.0,557.0,581.686,17984.913231590494
doctorat,Occitanie,oui,699.0,4.0,521.0,989.81,9786.53291738366
doctorat,Hauts-de-France,oui,1464.0,5.0,391.0,420.05,500.0
doctorat,Auvergne-Rhône-Alpes,oui,4022.0,3.0,474.0,705.9300000000001,20399.31047104829
doctorat,Occitanie,non,4116.0,5.0,557.0,799.154,32226.988031995694
master,Provence-Alpes-Côte d’Azur,oui,3955.0,4.0,576.0,933.28,10639.305587861045
bac,Bretagne,non,2483.0,4.0,721.0,773.7839999999999,500.0
aucun,Occitanie,non,1371.0,5.0,557.0,1069.99,500.0
bac+2,Normandie,non,2340.0,2.0,577.0,951.594,15184.584884713417
master,Provence-Alpes-Côte d’Azur,non,2906.0,1.0,662.0,1166.1,29132.162879314223
bac+2,Hauts-de-France,non,1513.0,3.0,682.0,896.2460000000001,500.0
aucun,Provence-Alpes-Côte d’Azur,oui,3352.0,1.0,553.0,627.354,500.0
bac,Auvergne-Rhône-Alpes,oui,2962.0,4.0,576.0,1042.69,500.0
bac,Bretagne,non,1534.0,5.0,557.0,875.952,20138.50357849674
bac+2,Normandie,non,930.0,1.0,303.0,965.2239999999999,8042.88785006186
doctorat,Corse,non,4632.0,3.0,581.0,265.2039,16683.472226033566
aucun,Île-de-France,non,884.0,1.0,698.0,684.7860000000001,500.0
master,Auvergne-Rhône-Alpes,oui,2445.0,5.0,438.0,904.8299999999999,500.0
aucun,Normandie,oui,2408.0,4.0,697.0,813.6020000000001,2050.7157398082786
bac+2,Hauts-de-France,oui,2262.0,2.0,577.0,480.28200000000004,500.0
bac,Auvergne-Rhône-Alpes,oui,2298.0,0.0,622.0,621.0379999999999,500.0
doctorat,Île-de-France,non,3247.0,2.0,502.0,862.6780000000001,5257.865301498262
bac+2,Normandie,non,1217.0,0.0,580.0,437.78,500.0
bac+2,Corse,oui,1382.0,1.0,460.0,1228.62,500.0
aucun,Île-de-France,oui,1517.0,1.0,553.0,935.298,500.0
bac+2,Hauts-de-France,non,1915.0,0.0,580.0,758.8,500.0
aucun,Normandie,oui,1393.0,2.0,577.0,912.9540000000001,500.0
master,Corse,non,5582.0,0.0,580.0,802.5,32624.62424784305
master,Corse,non,4100.0,0.0,743.0,782.6560000000001,500.0
bac+2,Normandie,oui,2152.0,4.0,576.0,968.0780000000001,500.0
bac+2,Hauts-de-France,oui,2652.0,1.0,553.0,729.004,500.0
aucun,Auvergne-Rhône-Alpes,non,1522.0,1.0,450.0,824.2639999999999,500.0
bac+2,Bretagne,non,1290.0,2.0,577.0,265.2039,16857.98479163118
doctorat,Auvergne-Rhône-Alpes,oui,3351.0,0.0,580.0,607.458,22455.43441767607
bac,Corse,oui,3613.0,4.0,749.0,781.062,500.0
bac,Occitanie,non,3269.0,4.0,470.0,578.6659999999999,500.0
master,Hauts-de-France,oui,3416.0,4.0,576.0,844.8520000000001,18587.129442140165
bac+2,Occitanie,non,3905.0,1.0,440.0,774.7239999999999,18399.61442914501
master,Corse,non,3156.0,3.0,581.0,922.3880000000001,500.0
bac,Corse,non,1508.0,2.0,577.0,917.68,500.0
bac+2,Occitanie,non,4698.0,5.0,557.0,770.932,30376.436480777666
master,Bretagne,non,1633.0,3.0,581.0,561.252,2580.1153810490573
